Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,43.259998,45.500000,43.259998,45.419998,45.046703,344400
2019-01-03,44.869999,44.869999,42.720001,43.389999,43.033390,157500
2019-01-04,44.080002,45.849998,44.049999,44.950001,44.580566,210300
2019-01-07,44.930000,45.560001,44.560001,45.250000,44.878101,183800
2019-01-08,45.639999,46.889999,45.209999,46.840000,46.455036,335300
2019-01-09,46.840000,48.439999,46.509998,48.209999,47.813778,286600
2019-01-10,47.389999,49.389999,45.830002,49.340000,48.934486,263800
2019-01-11,48.919998,48.980000,47.779999,48.040001,47.645172,373200
2019-01-14,47.590000,47.720001,46.639999,47.419998,47.030266,166100
2019-01-15,47.639999,48.139999,46.459999,46.840000,46.455036,146100
2019-01-16,47.200001,48.290001,47.200001,47.680000,47.288132,312200
2019-01-17,47.529999,48.660000,47.330002,48.490002,48.091476,230500
2019-01-18,48.779999,50.029999,48.000000,49.590000,49.182434,347800
2019-01-22,49.450001,50.200001,48.099998,48.480000,48.081554,244800
2019-01-23,48.770000,49.520000,47.619999,47.700001,47.307972,143200
2019-01-24,47.990002,48.689999,47.619999,48.230000,47.833611,153100
2019-01-25,48.669998,49.259998,48.049999,48.570000,48.170818,143900
2019-01-28,48.290001,50.209999,48.180000,49.849998,49.440296,279900
2019-01-29,50.049999,50.509998,49.639999,49.820000,49.410545,159700
2019-01-30,49.930000,51.270000,49.200001,50.970001,50.551090,188200
2019-01-31,50.630001,51.290001,49.740002,50.950001,50.531254,295200
2019-02-01,52.799999,54.799999,51.740002,51.820000,51.394100,500500
2019-02-04,52.400002,52.700001,51.549999,52.349998,51.919746,210600
2019-02-05,52.349998,52.880001,51.790001,52.580002,52.147858,382200
2019-02-06,53.029999,53.630001,52.660000,52.730000,52.296627,177600
2019-02-07,52.959999,54.889999,52.959999,54.599998,54.151257,290300
2019-02-08,54.419998,54.930000,53.020000,53.779999,53.337994,215400
2019-02-11,53.830002,54.770000,53.830002,54.310001,53.863640,207700
2019-02-12,54.549999,55.650002,54.250000,54.720001,54.270271,212200
2019-02-13,54.720001,55.540001,54.720001,54.970001,54.518219,206000
2019-02-14,54.470001,56.419998,54.450001,56.150002,55.688519,297400
2019-02-15,56.270000,56.700001,55.299999,55.680000,55.222378,235100
2019-02-19,55.139999,56.919998,55.009998,56.259998,55.797611,209600
2019-02-20,55.959999,56.779999,55.549999,55.849998,55.390984,263500
2019-02-21,55.840000,56.130001,55.049999,55.310001,54.855419,184700
2019-02-22,55.450001,56.169998,55.299999,55.779999,55.321560,281600
2019-02-25,56.130001,56.500000,55.660000,56.040001,55.579418,189700
2019-02-26,55.830002,56.230000,55.169998,55.180000,54.726486,235000
2019-02-27,55.060001,55.450001,53.529999,54.169998,53.724789,160800
2019-02-28,54.119999,54.389999,53.049999,54.040001,53.595860,380800
2019-03-01,54.200001,54.360001,52.599998,52.889999,52.455311,271800
2019-03-04,52.910000,53.169998,51.759998,52.740002,52.306541,364700
2019-03-05,52.970001,53.380001,51.919998,51.939999,51.513119,296600
